                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.123,                 1.0537,                 1.2616,                0.76209,                0.71302,                 0.7595,                 0.4733,                 1.3176,                 1.2474,                 1.4648,             0.00055453,             0.00055453,             0.00055453
                      2,                 1.2481,                 1.1832,                 1.3665,                0.74742,                0.73415,                0.75594,                0.46757,                 1.2821,                 1.1322,                 1.4467,              0.0010369,              0.0010369,              0.0010369
                      3,                 1.2487,                 1.1443,                 1.3592,                0.77273,                0.74993,                0.80017,                0.51656,                  1.196,                 1.0217,                 1.3861,               0.001446,               0.001446,               0.001446
                      4,                 1.1859,                 1.0655,                 1.3269,                 0.8033,                0.78246,                0.84736,                0.55068,                 1.1577,                0.95589,                 1.3812,              0.0013369,              0.0013369,              0.0013369
                      5,                 1.1446,                0.99611,                 1.3051,                0.77333,                0.81135,                0.83444,                0.56761,                 1.0666,                  0.927,                 1.3134,              0.0012269,              0.0012269,              0.0012269
                      6,                 1.0641,                0.82795,                 1.2875,                0.79863,                0.84125,                0.87002,                0.59074,                  1.071,                0.83815,                 1.2787,              0.0011169,              0.0011169,              0.0011169
                      7,                  1.015,                 0.7503,                 1.2482,                0.79009,                  0.844,                0.85066,                0.58827,                 1.0651,                0.82397,                 1.2933,              0.0010069,              0.0010069,              0.0010069
                      8,                0.97303,                0.70292,                 1.2258,                0.83671,                0.84365,                0.89178,                 0.6235,                 1.0454,                 0.7518,                 1.2625,             0.00089685,             0.00089685,             0.00089685
                      9,                0.93149,                0.64652,                 1.1938,                0.83849,                0.83917,                0.88937,                0.63455,                0.97029,                0.71127,                  1.219,             0.00078682,             0.00078682,             0.00078682
                     10,                0.89539,                0.60935,                 1.1707,                0.85493,                0.85369,                0.90352,                 0.6503,                0.95258,                 0.6706,                 1.2143,              0.0006768,              0.0006768,              0.0006768
                     11,                0.85763,                0.58181,                 1.1369,                0.86259,                0.88136,                 0.9177,                0.66836,                0.94371,                 0.6623,                  1.206,             0.00056678,             0.00056678,             0.00056678
                     12,                0.82999,                0.55162,                 1.1275,                0.88624,                0.87165,                0.93289,                0.70079,                0.88573,                0.58981,                 1.1682,             0.00045676,             0.00045676,             0.00045676
                     13,                0.79684,                0.51738,                  1.102,                0.86369,                 0.8907,                 0.9336,                0.70413,                0.85961,                0.57847,                 1.1525,             0.00034674,             0.00034674,             0.00034674
                     14,                0.75251,                0.48243,                 1.0737,                0.88993,                0.89824,                0.93889,                0.72035,                0.84529,                0.54482,                 1.1407,             0.00023671,             0.00023671,             0.00023671
                     15,                0.72902,                0.46925,                 1.0594,                0.88674,                0.88566,                 0.9407,                0.72621,                0.81111,                0.53763,                 1.1235,             0.00012669,             0.00012669,             0.00012669
